t,q0,q1,q2,q3,q4,q5,x,y,z,roll,pitch,yaw
0.000000,-1.799310,-1.506530,1.902850,-1.885110,-1.577040,-0.190939,0.001997,0.487497,0.272493,-0.037704,0.009436,3.059891
0.050000,-1.810157,-1.564572,1.901693,-1.826009,-1.577927,-0.201749,0.003488,0.471583,0.295055,-0.037705,0.009432,3.059917
0.100000,-1.821004,-1.622614,1.900536,-1.766908,-1.578814,-0.212559,0.004311,0.454430,0.316640,-0.037706,0.009429,3.059933
0.150000,-1.831852,-1.680657,1.899380,-1.707807,-1.579701,-0.223368,0.004441,0.436111,0.337173,-0.037708,0.009426,3.059939
0.200000,-1.842699,-1.738699,1.898223,-1.648707,-1.580588,-0.234178,0.003856,0.416703,0.356582,-0.037709,0.009425,3.059936
0.250000,-1.853546,-1.796741,1.897066,-1.589606,-1.581475,-0.244988,0.002539,0.396287,0.374798,-0.037711,0.009424,3.059923
0.300000,-1.853723,-1.816192,1.878634,-1.552949,-1.581538,-0.301006,0.000739,0.389832,0.387789,0.017969,0.013554,3.061728
0.350000,-1.849347,-1.819176,1.852831,-1.525869,-1.581249,-0.376313,-0.001137,0.389324,0.398909,0.097436,0.019159,3.064664
0.400000,-1.844971,-1.822160,1.827029,-1.498788,-1.580961,-0.451620,-0.003096,0.388494,0.410037,0.176938,0.024402,3.067981
0.450000,-1.840596,-1.825144,1.801226,-1.471708,-1.580672,-0.526928,-0.005135,0.387342,0.421163,0.256476,0.029258,3.071641
0.500000,-1.836220,-1.828128,1.775423,-1.444628,-1.580384,-0.602235,-0.007248,0.385867,0.432278,0.336051,0.033706,3.075607
0.550000,-1.831844,-1.831112,1.749620,-1.417548,-1.580095,-0.677542,-0.009432,0.384067,0.443373,0.415663,0.037727,3.079837
0.600000,-1.827468,-1.834097,1.723818,-1.390468,-1.579806,-0.752850,-0.011683,0.381943,0.454437,0.495309,0.041308,3.084291
0.650000,-1.823093,-1.837081,1.698015,-1.363387,-1.579518,-0.828157,-0.013995,0.379494,0.465463,0.574988,0.044439,3.088926
0.700000,-1.818717,-1.840065,1.672212,-1.336307,-1.579229,-0.903464,-0.016366,0.376721,0.476439,0.654696,0.047112,3.093702
0.750000,-1.814341,-1.843049,1.646409,-1.309227,-1.578941,-0.978772,-0.018789,0.373625,0.487359,0.734430,0.049326,3.098575
0.800000,-1.809966,-1.846033,1.620607,-1.282147,-1.578652,-1.054079,-0.021261,0.370205,0.498211,0.814185,0.051081,3.103504
0.850000,-1.805590,-1.849017,1.594804,-1.255067,-1.578364,-1.129386,-0.023777,0.366463,0.508987,0.893957,0.052382,3.108448
0.900000,-1.801214,-1.852002,1.569001,-1.227986,-1.578075,-1.204694,-0.026332,0.362401,0.519678,0.973742,0.053237,3.113367
0.950000,-1.796838,-1.854986,1.543198,-1.200906,-1.577787,-1.280001,-0.028923,0.358020,0.530275,1.053535,0.053657,3.118222
1.000000,-1.792463,-1.857970,1.517395,-1.173826,-1.577498,-1.355308,-0.031543,0.353322,0.540769,1.133331,0.053657,3.122976
1.050000,-1.788087,-1.860954,1.491593,-1.146746,-1.577209,-1.430616,-0.034188,0.348309,0.551150,1.213128,0.053256,3.127594
1.100000,-1.783711,-1.863938,1.465790,-1.119666,-1.576921,-1.505923,-0.036854,0.342985,0.561411,1.292920,0.052474,3.132043
1.150000,-1.779335,-1.866922,1.439987,-1.092585,-1.576632,-1.581230,-0.039536,0.337352,0.571543,1.372705,0.051334,3.136292
1.200000,-1.774960,-1.869906,1.414184,-1.065505,-1.576344,-1.656538,-0.042229,0.331413,0.581536,1.452480,0.049862,3.140314
