t,q0,q1,q2,q3,q4,q5,x,y,z,roll,pitch,yaw
2.200000,0.965116,-1.194982,-0.980030,-1.624583,0.656163,-0.532874,0.236059,0.035299,0.850478,-1.017162,-0.960205,-2.279319
2.250000,0.860463,-1.223835,-0.905225,-1.582053,0.568415,-0.634159,0.233286,-0.001904,0.876243,-1.237192,-1.045272,-2.187810
2.300000,0.755809,-1.252688,-0.830421,-1.539524,0.480667,-0.735444,0.223659,-0.038897,0.899827,-1.486458,-1.117495,-2.081186
2.350000,0.651156,-1.281541,-0.755616,-1.496994,0.392919,-0.836729,0.207274,-0.074330,0.920982,-1.762396,-1.175081,-1.960583
2.400000,0.546502,-1.310393,-0.680811,-1.454464,0.305171,-0.938014,0.184516,-0.106886,0.939487,-2.055567,-1.217621,-1.833914
2.450000,0.441849,-1.339246,-0.606006,-1.411935,0.217423,-1.039299,0.156040,-0.135343,0.955158,-2.349216,-1.246777,-1.716254
2.500000,0.337195,-1.368099,-0.531201,-1.369405,0.129675,-1.140583,0.122754,-0.158633,0.967850,-2.623580,-1.266213,-1.625486
2.550000,0.232542,-1.396952,-0.456397,-1.326876,0.041927,-1.241868,0.085771,-0.175896,0.977461,-2.861737,-1.280462,-1.576451
2.600000,0.127888,-1.425805,-0.381592,-1.284346,-0.045821,-1.343153,0.046362,-0.186524,0.983935,-3.051454,-1.293347,-1.579129
2.650000,0.023235,-1.454658,-0.306787,-1.241817,-0.133569,-1.444438,0.005896,-0.190184,0.987263,3.100491,-1.306699,-1.641201
2.700000,-0.081418,-1.483511,-0.231982,-1.199287,-0.221317,-1.545723,-0.034225,-0.186835,0.987481,3.038044,-1.319463,-1.770611
2.750000,-0.186072,-1.512363,-0.157177,-1.156758,-0.309065,-1.647008,-0.072632,-0.176728,0.984674,3.051622,-1.327035,-1.972297
2.800000,-0.290725,-1.541216,-0.082373,-1.114228,-0.396813,-1.748293,-0.108052,-0.160386,0.978967,3.131249,-1.321627,-2.234147
2.850000,-0.395379,-1.570069,-0.007568,-1.071699,-0.484562,-1.849578,-0.139365,-0.138574,0.970526,-3.046021,-1.295440,-2.514467
2.900000,-0.500032,-1.598922,0.067237,-1.029169,-0.572310,-1.950863,-0.165648,-0.112257,0.959550,-2.962211,-1.245324,-2.763149
2.950000,-0.604686,-1.627775,0.142042,-0.986640,-0.660058,-2.052148,-0.186217,-0.082549,0.946270,-2.922785,-1.173411,-2.956388
3.000000,-0.709339,-1.656628,0.216847,-0.944110,-0.747806,-2.153433,-0.200644,-0.050653,0.930936,-2.923959,-1.083964,-3.096572
3.050000,-0.813993,-1.685480,0.291651,-0.901580,-0.835554,-2.254718,-0.208767,-0.017801,0.913817,-2.953382,-0.981095,3.088479
3.100000,-0.918646,-1.714333,0.366456,-0.859051,-0.923302,-2.356003,-0.210682,0.014804,0.895189,-2.999650,-0.868237,3.022387
