t,q0,q1,q2,q3,q4,q5,x,y,z,roll,pitch,yaw
1.900000,1.591111,-1.022278,-1.427246,-1.879339,1.181059,0.073760,0.136162,0.197971,0.666733,-0.203644,-0.329752,-2.706086
1.950000,1.488383,-1.050718,-1.354054,-1.837230,1.094904,-0.026449,0.162152,0.182641,0.698873,-0.286593,-0.433687,-2.632490
2.000000,1.383730,-1.079571,-1.279249,-1.794701,1.007156,-0.127734,0.186102,0.161554,0.731248,-0.390514,-0.543150,-2.562921
2.050000,1.279076,-1.108424,-1.204445,-1.752171,0.919408,-0.229019,0.206407,0.135503,0.762891,-0.513946,-0.653430,-2.496310
2.100000,1.174423,-1.137276,-1.129640,-1.709642,0.831660,-0.330304,0.222053,0.105154,0.793509,-0.658138,-0.761568,-2.429412
2.150000,1.069769,-1.166129,-1.054835,-1.667112,0.743911,-0.431589,0.232165,0.071393,0.822804,-0.825026,-0.864744,-2.358476
2.200000,0.965116,-1.194982,-0.980030,-1.624583,0.656163,-0.532874,0.236059,0.035299,0.850478,-1.017162,-0.960205,-2.279319
2.250000,0.860463,-1.223835,-0.905225,-1.582053,0.568415,-0.634159,0.233286,-0.001904,0.876243,-1.237192,-1.045272,-2.187810
2.300000,0.755809,-1.252688,-0.830421,-1.539524,0.480667,-0.735444,0.223659,-0.038897,0.899827,-1.486458,-1.117495,-2.081186
2.350000,0.651156,-1.281541,-0.755616,-1.496994,0.392919,-0.836729,0.207274,-0.074330,0.920982,-1.762396,-1.175081,-1.960583
2.400000,0.546502,-1.310393,-0.680811,-1.454464,0.305171,-0.938014,0.184516,-0.106886,0.939487,-2.055567,-1.217621,-1.833914
2.450000,0.441849,-1.339246,-0.606006,-1.411935,0.217423,-1.039299,0.156040,-0.135343,0.955158,-2.349216,-1.246777,-1.716254
2.500000,0.337195,-1.368099,-0.531201,-1.369405,0.129675,-1.140583,0.122754,-0.158633,0.967850,-2.623580,-1.266213,-1.625486
2.550000,0.232542,-1.396952,-0.456397,-1.326876,0.041927,-1.241868,0.085771,-0.175896,0.977461,-2.861737,-1.280462,-1.576451
2.600000,0.127888,-1.425805,-0.381592,-1.284346,-0.045821,-1.343153,0.046362,-0.186524,0.983935,-3.051454,-1.293347,-1.579129
2.650000,0.023235,-1.454658,-0.306787,-1.241817,-0.133569,-1.444438,0.005896,-0.190184,0.987263,3.100491,-1.306699,-1.641201
2.700000,-0.081418,-1.483511,-0.231982,-1.199287,-0.221317,-1.545723,-0.034225,-0.186835,0.987481,3.038044,-1.319463,-1.770611
2.750000,-0.186072,-1.512363,-0.157177,-1.156758,-0.309065,-1.647008,-0.072632,-0.176728,0.984674,3.051622,-1.327035,-1.972297
2.800000,-0.290725,-1.541216,-0.082373,-1.114228,-0.396813,-1.748293,-0.108052,-0.160386,0.978967,3.131249,-1.321627,-2.234147
2.850000,-0.395379,-1.570069,-0.007568,-1.071699,-0.484562,-1.849578,-0.139365,-0.138574,0.970526,-3.046021,-1.295440,-2.514467
2.900000,-0.500032,-1.598922,0.067237,-1.029169,-0.572310,-1.950863,-0.165648,-0.112257,0.959550,-2.962211,-1.245324,-2.763149
2.950000,-0.604686,-1.627775,0.142042,-0.986640,-0.660058,-2.052148,-0.186217,-0.082549,0.946270,-2.922785,-1.173411,-2.956388
3.000000,-0.709339,-1.656628,0.216847,-0.944110,-0.747806,-2.153433,-0.200644,-0.050653,0.930936,-2.923959,-1.083964,-3.096572
3.050000,-0.813993,-1.685480,0.291651,-0.901580,-0.835554,-2.254718,-0.208767,-0.017801,0.913817,-2.953382,-0.981095,3.088479
3.100000,-0.918646,-1.714333,0.366456,-0.859051,-0.923302,-2.356003,-0.210682,0.014804,0.895189,-2.999650,-0.868237,3.022387
3.150000,-1.023300,-1.743186,0.441261,-0.816521,-1.011050,-2.457288,-0.206723,0.046042,0.875331,-3.054275,-0.748306,2.981395
3.200000,-1.127902,-1.772022,0.516013,-0.774023,-1.098732,-2.558524,-0.197439,0.074907,0.854530,-3.111120,-0.624043,2.961200
3.250000,-1.223760,-1.797958,0.581625,-0.736984,-1.174956,-2.651458,-0.184956,0.097944,0.835838,3.125046,-0.513596,2.955765
3.300000,-1.304502,-1.818880,0.631438,-0.709381,-1.231375,-2.730038,-0.172363,0.113948,0.821672,3.093276,-0.430352,2.956378
3.350000,-1.370128,-1.834789,0.665453,-0.691213,-1.267988,-2.794266,-0.161458,0.124245,0.812270,3.074652,-0.374664,2.956378
3.400000,-1.420638,-1.845685,0.683669,-0.682482,-1.284796,-2.844140,-0.153299,0.129957,0.807737,3.067441,-0.345756,2.950360
3.450000,-1.456032,-1.851568,0.686087,-0.683186,-1.281799,-2.879661,-0.148442,0.131834,0.808119,3.071103,-0.342394,2.934169
3.500000,-1.476310,-1.852437,0.672705,-0.693325,-1.258997,-2.900830,-0.147094,0.130182,0.813434,3.086873,-0.363339,2.904811
3.550000,-1.481471,-1.848293,0.643525,-0.712901,-1.216389,-2.907645,-0.149186,0.124821,0.823668,3.118223,-0.407466,2.860109
3.600000,-1.471517,-1.839135,0.598547,-0.741912,-1.153976,-2.900107,-0.154363,0.115061,0.838721,-3.111865,-0.473449,2.797982
3.650000,-1.446447,-1.824964,0.537769,-0.780360,-1.071758,-2.878217,-0.161861,0.099713,0.858325,-3.027456,-0.558956,2.715247
3.700000,-1.406261,-1.805780,0.461194,-0.828242,-0.969734,-2.841973,-0.170311,0.077159,0.881882,-2.897615,-0.659195,2.605862
3.750000,-1.351152,-1.781647,0.369021,-0.885440,-0.848159,-2.791560,-0.177443,0.045659,0.908204,-2.702878,-0.764349,2.459424
3.800000,-1.290710,-1.755745,0.271275,-0.945967,-0.719597,-2.736084,-0.179866,0.007912,0.933103,-2.447546,-0.847972,2.278800
3.850000,-1.230269,-1.729843,0.173530,-1.006494,-0.591035,-2.680607,-0.176104,-0.033230,0.954084,-2.151253,-0.893360,2.078632
3.900000,-1.169827,-1.703942,0.075784,-1.067021,-0.462472,-2.625131,-0.165669,-0.076496,0.970314,-1.840760,-0.896906,1.884597
3.950000,-1.109386,-1.678040,-0.021962,-1.127548,-0.333910,-2.569654,-0.148376,-0.120417,0.981067,-1.547426,-0.863605,1.727261
4.000000,-1.048944,-1.652138,-0.119708,-1.188074,-0.205348,-2.514178,-0.124379,-0.163402,0.985769,-1.289327,-0.804645,1.623955
