t,q0,q1,q2,q3,q4,q5,x,y,z,roll,pitch,yaw
1.900000,-1.815278,-1.965089,1.170195,-0.325363,-0.858834,-3.107038,-0.117009,0.202611,0.665319,2.502142,-0.609835,-2.552419
1.950000,-1.800733,-1.960663,1.140757,-0.351072,-0.942087,-3.106612,-0.115236,0.197536,0.671916,2.599328,-0.555977,-2.640597
2.000000,-1.786178,-1.956234,1.111299,-0.376798,-1.025275,-3.106185,-0.112970,0.192715,0.678850,2.684502,-0.495145,-2.721250
2.050000,-1.770869,-1.951576,1.080316,-0.403857,-1.103328,-3.105736,-0.110773,0.188124,0.686899,2.758076,-0.433830,-2.796839
2.100000,-1.754340,-1.946547,1.046862,-0.433073,-1.173059,-3.105251,-0.109081,0.183617,0.696477,2.821515,-0.376423,-2.870186
2.150000,-1.736589,-1.941145,1.010936,-0.464449,-1.234468,-3.104730,-0.108003,0.178993,0.707510,2.876403,-0.323871,-2.942945
2.200000,-1.717617,-1.935372,0.972538,-0.497983,-1.287557,-3.104174,-0.107614,0.174032,0.719914,2.924189,-0.277008,-3.016434
2.250000,-1.697424,-1.929228,0.931669,-0.533675,-1.332324,-3.103582,-0.107954,0.168502,0.733595,2.966282,-0.236560,-3.091689
2.300000,-1.676010,-1.922712,0.888329,-0.571526,-1.368770,-3.102954,-0.109026,0.162167,0.748448,3.004144,-0.203132,3.113683
2.350000,-1.653374,-1.915824,0.842517,-0.611535,-1.396895,-3.102290,-0.110798,0.154784,0.764359,3.039343,-0.177166,3.032721
2.400000,-1.629518,-1.908565,0.794234,-0.653703,-1.416699,-3.101590,-0.113206,0.146108,0.781204,3.073591,-0.158897,2.948183
2.450000,-1.604440,-1.900934,0.743480,-0.698029,-1.428181,-3.100855,-0.116150,0.135892,0.798849,3.108756,-0.148280,2.859756
2.500000,-1.578142,-1.892932,0.690254,-0.744514,-1.431342,-3.100084,-0.119491,0.123887,0.817143,-3.136348,-0.144920,2.767183
2.550000,-1.550622,-1.884558,0.634556,-0.793157,-1.426182,-3.099277,-0.123058,0.109846,0.835917,-3.093267,-0.148003,2.670209
2.600000,-1.521881,-1.875812,0.576387,-0.843959,-1.412700,-3.098434,-0.126634,0.093522,0.854978,-3.043095,-0.156215,2.568543
2.650000,-1.491919,-1.866695,0.515747,-0.896919,-1.390898,-3.097555,-0.129960,0.074674,0.874099,-2.983847,-0.167690,2.461863
2.700000,-1.461098,-1.857317,0.453370,-0.951395,-1.363250,-3.096652,-0.132537,0.053380,0.892772,-2.916164,-0.178368,2.351368
2.750000,-1.430247,-1.847929,0.390929,-1.005928,-1.335384,-3.095747,-0.133689,0.030302,0.910212,-2.845223,-0.182960,2.240561
2.800000,-1.399395,-1.838541,0.328488,-1.060461,-1.307518,-3.094842,-0.133252,0.005622,0.926209,-2.772244,-0.180822,2.130062
2.850000,-1.368543,-1.829153,0.266046,-1.114994,-1.279652,-3.093938,-0.131097,-0.020478,0.940584,-2.698330,-0.171639,2.020442
2.900000,-1.337691,-1.819765,0.203605,-1.169527,-1.251786,-3.093033,-0.127117,-0.047786,0.953164,-2.624608,-0.155273,1.912284
2.950000,-1.306839,-1.810377,0.141164,-1.224060,-1.223920,-3.092128,-0.121230,-0.076066,0.963786,-2.552169,-0.131761,1.806121
3.000000,-1.275987,-1.800989,0.078723,-1.278592,-1.196054,-3.091224,-0.113380,-0.105060,0.972303,-2.482028,-0.101301,1.702384
3.050000,-1.245135,-1.791601,0.016282,-1.333125,-1.168189,-3.090319,-0.103542,-0.134495,0.978581,-2.415088,-0.064236,1.601356
3.100000,-1.214283,-1.782213,-0.046160,-1.387658,-1.140323,-3.089414,-0.091720,-0.164083,0.982505,-2.352129,-0.021020,1.503145
3.150000,-1.183431,-1.772825,-0.108601,-1.442191,-1.112457,-3.088509,-0.077952,-0.193527,0.983980,-2.293820,0.027803,1.407674
3.200000,-1.152579,-1.763437,-0.171042,-1.496724,-1.084591,-3.087605,-0.062311,-0.222528,0.982931,-2.240737,0.081625,1.314678
3.250000,-1.121727,-1.754049,-0.233483,-1.551257,-1.056725,-3.086700,-0.044901,-0.250785,0.979308,-2.193402,0.139791,1.223715
3.300000,-1.090875,-1.744661,-0.295925,-1.605790,-1.028859,-3.085795,-0.025859,-0.278006,0.973083,-2.152321,0.201610,1.134169
3.350000,-1.060023,-1.735273,-0.358366,-1.660323,-1.000994,-3.084891,-0.005352,-0.303910,0.964255,-2.118036,0.266355,1.045253
3.400000,-1.029171,-1.725885,-0.420807,-1.714856,-0.973128,-3.083986,0.016420,-0.328231,0.952847,-2.091165,0.333260,0.956007
3.450000,-0.998319,-1.716497,-0.483248,-1.769389,-0.945262,-3.083081,0.039235,-0.350725,0.938908,-2.072456,0.401500,0.865286
3.500000,-0.967467,-1.707109,-0.545689,-1.823921,-0.917396,-3.082177,0.062846,-0.371171,0.922514,-2.062828,0.470167,0.771744
3.550000,-0.936616,-1.697721,-0.608131,-1.878454,-0.889530,-3.081272,0.086987,-0.389380,0.903763,-2.063408,0.538234,0.673820
3.600000,-0.905764,-1.688333,-0.670572,-1.932987,-0.861664,-3.080367,0.111377,-0.405193,0.882779,-2.075542,0.604509,0.569743
3.650000,-0.874912,-1.678945,-0.733013,-1.987520,-0.833798,-3.079462,0.135725,-0.418486,0.859709,-2.100756,0.667579,0.457578
3.700000,-0.844060,-1.669557,-0.795454,-2.042053,-0.805933,-3.078558,0.159735,-0.429173,0.834721,-2.140618,0.725760,0.335375
3.750000,-0.813208,-1.660169,-0.857896,-2.096586,-0.778067,-3.077653,0.183111,-0.437206,0.808001,-2.196428,0.777063,0.201475
3.800000,-0.782356,-1.650782,-0.920337,-2.151119,-0.750201,-3.076748,0.205562,-0.442575,0.779754,-2.268682,0.819225,0.055058
3.850000,-0.751504,-1.641394,-0.982778,-2.205652,-0.722335,-3.075844,0.226807,-0.445310,0.750197,-2.356341,0.849855,-0.103134
3.900000,-0.720652,-1.632006,-1.045219,-2.260185,-0.694469,-3.074939,0.246582,-0.445479,0.719561,-2.456166,0.866736,-0.270133
3.950000,-0.689800,-1.622618,-1.107660,-2.314718,-0.666603,-3.074034,0.264642,-0.443183,0.688087,-2.562646,0.868251,-0.440666
4.000000,-0.658948,-1.613230,-1.170102,-2.369250,-0.638738,-3.073130,0.280766,-0.438561,0.656020,-2.668921,0.853768,-0.608090
4.050000,-0.628096,-1.603842,-1.232543,-2.423783,-0.610872,-3.072225,0.294762,-0.431780,0.623608,-2.768454,0.823764,-0.766054
4.100000,-0.597244,-1.594454,-1.294984,-2.478316,-0.583006,-3.071320,0.306472,-0.423036,0.591101,-2.856518,0.779633,-0.910000
4.150000,-0.566392,-1.585066,-1.357425,-2.532849,-0.555140,-3.070416,0.315770,-0.412547,0.558745,-2.930757,0.723277,-1.037714
4.200000,-0.535540,-1.575678,-1.419867,-2.587382,-0.527274,-3.069511,0.322567,-0.400551,0.526779,-2.990837,0.656714,-1.148985
4.250000,-0.505461,-1.567087,-1.481712,-2.640166,-0.500139,-3.068658,0.326944,-0.387754,0.495517,-3.037097,0.582798,-1.243417
4.300000,-0.479190,-1.562424,-1.540618,-2.684335,-0.476603,-3.068058,0.329587,-0.376193,0.465405,-3.069741,0.507741,-1.318362
4.350000,-0.457036,-1.562009,-1.596349,-2.719188,-0.456958,-3.067732,0.330942,-0.366215,0.436429,-3.092160,0.434503,-1.377654
4.400000,-0.438999,-1.565840,-1.648902,-2.744727,-0.441205,-3.067680,0.331346,-0.357919,0.408483,-3.107232,0.364899,-1.424871
4.450000,-0.425078,-1.573917,-1.698280,-2.760951,-0.429343,-3.067902,0.331066,-0.351355,0.381429,-3.117100,0.300194,-1.462761
4.500000,-0.415275,-1.586242,-1.744481,-2.767860,-0.421373,-3.068398,0.330302,-0.346539,0.355107,-3.123327,0.241272,-1.493403
4.550000,-0.409588,-1.602813,-1.787505,-2.765455,-0.417294,-3.069169,0.329189,-0.343467,0.329355,-3.127043,0.188753,-1.518342
4.600000,-0.408018,-1.623631,-1.827353,-2.753735,-0.417106,-3.070213,0.327806,-0.342126,0.304010,-3.129068,0.143071,-1.538707
4.650000,-0.410565,-1.648695,-1.864025,-2.732700,-0.420810,-3.071531,0.326178,-0.342496,0.278921,-3.129996,0.104523,-1.555288
4.700000,-0.417229,-1.678006,-1.897520,-2.702350,-0.428405,-3.073123,0.324288,-0.344558,0.253948,-3.130261,0.073299,-1.568585
4.750000,-0.428010,-1.711564,-1.927839,-2.662686,-0.439891,-3.074989,0.322075,-0.348293,0.228966,-3.130179,0.049498,-1.578856
4.800000,-0.442908,-1.749369,-1.954981,-2.613707,-0.455269,-3.077129,0.319443,-0.353677,0.203872,-3.129980,0.033138,-1.586135
4.850000,-0.461922,-1.791421,-1.978947,-2.555413,-0.474538,-3.079543,0.316255,-0.360686,0.178578,-3.129816,0.024152,-1.590260
4.900000,-0.484916,-1.837577,-1.999842,-2.488117,-0.497568,-3.082222,0.312314,-0.369201,0.153036,-3.129765,0.022146,-1.591010
4.950000,-0.509039,-1.884898,-2.019866,-2.418263,-0.521666,-3.084976,0.306946,-0.377548,0.127598,-3.129747,0.022065,-1.590652
5.000000,-0.533163,-1.932220,-2.039890,-2.348410,-0.545764,-3.087730,0.299995,-0.385000,0.102495,-3.129726,0.021943,-1.590177
